username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2020-02-20 17:47;0;2;"Democratic Analyst Leslie Marshall On Dem Primary: “The Fat Lady Hasn’t Come To The Stage Yet…… It’s Not Over For Biden Just Yet” http://dlvr.it/RQRXlb pic.twitter.com/ULGqdan1fb";;;;"1230624943106211841";https://twitter.com/foxnewsradio/status/1230624943106211841
;2020-02-20 17:10;4;12;". @ HowardKurtz on Roger Stone receiving his sentence, Bloomberg taking a beating at his first debate and Elizabeth Warren's much needed stronger showing. # MEDIABUZZMeter Click here to listen & subscribe:http://ow.ly/aHf050yrL0z";;@;#;"1230615634918158336";https://twitter.com/foxnewsradio/status/1230615634918158336
;2020-02-20 16:15;14;75;"NEW # HemmerTime podcast with @ BillHemmer and @ VDHanson available now on @ ApplePodcasts or click the link below. Don't forget to rate and review wherever you get your podcasts!http://ow.ly/EgU750yrUko";;@ @ @;#;"1230601896253100033";https://twitter.com/foxnewsradio/status/1230601896253100033
;2020-02-20 16:12;5;14;"President Trump, reacting to the 40 month prision sentence handed down to long-time friend Roger Stone, hinting that Stone could ultimately receive a presidential pardon or commutation of his sentence http://ow.ly/aZGf50yrTsu";;;;"1230601185838718983";https://twitter.com/foxnewsradio/status/1230601185838718983
;2020-02-20 14:48;0;7;"Chris Wallace: Mike Bloomberg Was Roughed Up At Last Night’s Debate http://dlvr.it/RQR5RZ pic.twitter.com/RNCSmhbp1x";;;;"1230579885170520064";https://twitter.com/foxnewsradio/status/1230579885170520064
;2020-02-20 13:53;3;5;"President Trump ally Roger Stone has been sentenced to 40 months in federal prison, after Attorney General William Barr backed off his Justice Department's original sentencing recommendation http://ow.ly/KNwF50yrIMr";;;;"1230566195717341184";https://twitter.com/foxnewsradio/status/1230566195717341184
;2020-02-20 13:30;1;2;". @ HowardKurtz on today's # MEDIABUZZMeter: •Bloomberg takes a beating at his first debate •Spielberg daughter enters the adult film industry •John Bolton downplays his would-be testimony Click here to listen & subscribe: http://ow.ly/i6Uw50yrKWT";;@;#;"1230560277743067136";https://twitter.com/foxnewsradio/status/1230560277743067136
;2020-02-20 13:16;1;1;"NEW # LighthouseFaith out now! Lauren Green sits down with author @ CalThomas to chat about his new book "America's Expiration Date." Download now on your favorite # podcast platform!http://ow.ly/mgGV50yrKv4";;@;# #;"1230556949864779784";https://twitter.com/foxnewsradio/status/1230556949864779784
;2020-02-20 11:10;0;1;"Longtime Trump associate Roger Stone is about to be punished. http://foxrad.io/5mincast";;;;"1230525049058230272";https://twitter.com/foxnewsradio/status/1230525049058230272
;2020-02-20 10:20;3;9;"Host of @ Varneyco Stuart Varney weighs in on former President @ BarackObama claiming credit for @ realDonaldTrump’s economy. Listen to the full interview on today’s # FOXNewsRundown http://ow.ly/BTMX50yqSlu pic.twitter.com/cMcRpTzzXE";;@ @ @;#;"1230512466209202179";https://twitter.com/foxnewsradio/status/1230512466209202179
